cbsa_id,scen_1_access,scen_2_access,scen_3_access,scen_4_access,scen_5_access,100pct_hc_access,0pct_hc_access
26820,0.140748826,0.375993329,0.602280428,0.550008522,0.768730085,1,0
26900,0.130228305,0.345240748,0.553785389,0.509263706,0.713480662,1,0
26980,0.131802312,0.35042962,0.561441122,0.516022987,0.721847217,1,0
27060,0.101063739,0.272425918,0.430143485,0.416875047,0.575678279,1,0
27100,0.147252541,0.392977086,0.629214355,0.570057964,0.795295596,1,0
27140,0.138228114,0.36953172,0.594477468,0.541069422,0.759670296,1,0
27180,0.141765597,0.38017612,0.613323752,0.556295632,0.78326465,1,0
27260,0.1289816,0.343483715,0.550099552,0.507847682,0.711216217,1,0
27340,0.129464057,0.346532299,0.561025909,0.517172781,0.732257477,1,0
27500,0.135848277,0.361027805,0.576373997,0.529001354,0.7370897,1,0
27620,0.13919377,0.374152694,0.600346934,0.549205424,0.768424981,1,0
27740,0.138971441,0.37230898,0.597973042,0.545942206,0.76523263,1,0
27780,0.152185585,0.402578402,0.645351123,0.582106367,0.812977321,1,0
27860,0.136825093,0.368614375,0.594520083,0.542372983,0.763813636,1,0
27900,0.14111424,0.378253509,0.609426599,0.553705353,0.778334316,1,0
27980,0.126701607,0.33470793,0.54129805,0.49726019,0.70393823,1,0
28020,0.130140875,0.34599304,0.552851062,0.508639655,0.708494961,1,0
28100,0.133745426,0.356427027,0.573014552,0.524641402,0.736019237,1,0
28140,0.129626334,0.343485403,0.550969442,0.507324667,0.710579131,1,0
28420,0.129735971,0.34546923,0.554641507,0.510475968,0.71581412,1,0
28660,0.12943133,0.346362268,0.557752731,0.513910489,0.722592474,1,0
28700,0.146423987,0.39121335,0.628121547,0.569253811,0.797508333,1,0
28740,0.129834366,0.348168414,0.555939057,0.514575763,0.71654403,1,0
28940,0.13671884,0.363685596,0.582783498,0.533229264,0.746485483,1,0
29020,0.146366889,0.390221297,0.626787442,0.566924952,0.794179914,1,0
29100,0.141317787,0.375006121,0.600042809,0.546031979,0.761556205,1,0
29180,0.141142594,0.377647547,0.607168027,0.551896997,0.774574583,1,0
29200,0.139762921,0.37331114,0.599881192,0.54573122,0.764839694,1,0
29340,0.138774803,0.372509398,0.599235138,0.546584272,0.767905234,1,0
29420,0.139656407,0.374573722,0.601526975,0.550184173,0.772320584,1,0
29460,0.13607969,0.363815472,0.5835507,0.534769111,0.749295342,1,0
29540,0.130734261,0.336730547,0.534935501,0.499233497,0.695427425,1,0
29620,0.137257785,0.362761543,0.579895971,0.530123307,0.739770422,1,0
29700,0.128592538,0.344968426,0.555049111,0.510048458,0.717737065,1,0
29740,0.13663041,0.362574285,0.58233815,0.533629623,0.749578739,1,0
29820,0.116010408,0.308971886,0.494197865,0.463330768,0.648642605,1,0
29940,0.110400875,0.29283488,0.468119655,0.445495944,0.622668588,1,0
30020,0.136875363,0.366053823,0.593443164,0.539015989,0.763456494,1,0
30140,0.134791298,0.348174899,0.55477898,0.516099677,0.720621806,1,0
30300,0.14057439,0.376078411,0.604626941,0.550329473,0.771916753,1,0
30340,0.124429373,0.333635836,0.528816108,0.494935724,0.684224613,1,0
30460,0.128384341,0.342007685,0.548542766,0.506112653,0.708493427,1,0
30620,0.143072792,0.382466324,0.616415256,0.557690416,0.7848781,1,0
30700,0.13606115,0.360427447,0.577679158,0.527692929,0.738375178,1,0
30780,0.136072169,0.364777091,0.586399564,0.535913822,0.752119123,1,0
30860,0.137102162,0.365002628,0.584848951,0.536036879,0.749399486,1,0
30980,0.136891141,0.368339776,0.592120905,0.54142949,0.760248746,1,0
31020,0.134510614,0.360038617,0.579062478,0.529161081,0.743229113,1,0
31080,0.100834885,0.267716852,0.424683811,0.409122869,0.569443254,1,0
31140,0.134605728,0.357391117,0.572329573,0.524158118,0.732437172,1,0
31180,0.134510137,0.359796959,0.580057233,0.529127628,0.745002135,1,0
31340,0.135463278,0.360609501,0.577314189,0.529853215,0.740464158,1,0
31420,0.136003015,0.363455191,0.583541652,0.533830726,0.748400383,1,0
31460,0.130836912,0.352558076,0.572026922,0.522419432,0.740617002,1,0
31540,0.127613593,0.340081174,0.541668868,0.501667018,0.697436346,1,0
31700,0.114354223,0.303123713,0.477677353,0.4542316,0.626148566,1,0
31740,0.117726221,0.313861815,0.50516454,0.471990646,0.664015557,1,0
31860,0.142344944,0.377425063,0.603398863,0.549334196,0.765748358,1,0
31900,0.137963949,0.367864373,0.592777572,0.539691221,0.7592659,1,0
32580,0.139644028,0.374021276,0.600689723,0.548005865,0.768141275,1,0
32780,0.125615787,0.337107565,0.541237551,0.5028483,0.705346427,1,0
32820,0.134119162,0.358605802,0.578081227,0.527764109,0.742958577,1,0
32900,0.121915275,0.33001949,0.537055565,0.495123673,0.705524967,1,0
33100,0.115225661,0.300955016,0.476481962,0.451158058,0.626896399,1,0
33140,0.140682287,0.375519236,0.601705857,0.548262892,0.765836631,1,0
33220,0.144165908,0.38347591,0.614299774,0.558308262,0.77975797,1,0
33260,0.138938809,0.371559062,0.596964395,0.544070898,0.763336286,1,0
33340,0.113451297,0.303009585,0.478981508,0.455177475,0.629176076,1,0
33460,0.129490639,0.340473065,0.540116068,0.500748998,0.695081522,1,0
33540,0.129093509,0.346358375,0.554971423,0.513863007,0.719979627,1,0
33660,0.142216513,0.380013572,0.611220461,0.553986335,0.777451898,1,0
33700,0.127883801,0.343456417,0.555602346,0.510335922,0.722449529,1,0
33740,0.14000664,0.375843192,0.60514008,0.550964164,0.774662804,1,0
33780,0.144464062,0.383331284,0.614217131,0.557523232,0.778496242,1,0
33860,0.136541175,0.364645469,0.587468378,0.535525705,0.753295441,1,0
34060,0.128730426,0.342473497,0.548593282,0.50655325,0.708151896,1,0
34100,0.141768244,0.380137536,0.609262221,0.555852146,0.77747831,1,0
34580,0.140428162,0.374445762,0.601708285,0.547833804,0.768388059,1,0
34620,0.138320128,0.369298618,0.594215597,0.5405005,0.758645328,1,0
34740,0.144943275,0.385082992,0.616227784,0.55982722,0.781679514,1,0
34820,0.143430743,0.380107513,0.608141372,0.554357392,0.774570779,1,0
34900,0.122157428,0.324920157,0.520334259,0.484673168,0.679069424,1,0
34940,0.124280803,0.326093313,0.518921262,0.484757292,0.675763224,1,0
34980,0.129477477,0.343117991,0.548306553,0.506304077,0.707322639,1,0
35100,0.141624077,0.378799085,0.608910781,0.554859377,0.778928274,1,0
35300,0.112247629,0.299070768,0.472391965,0.451087118,0.623018557,1,0
35380,0.129875603,0.346173511,0.554319157,0.51283626,0.716830796,1,0
35620,0.09625687,0.255927576,0.397997686,0.393203233,0.537698236,1,0
35660,0.145109059,0.38564757,0.618547046,0.56092088,0.784400737,1,0
35840,0.137726341,0.361602779,0.577794389,0.529616111,0.740236213,1,0
35980,0.120140237,0.321619811,0.51210759,0.481391341,0.668691824,1,0
36100,0.143184716,0.382324123,0.61286066,0.558353945,0.78157862,1,0
36140,0.139345417,0.365999073,0.584717385,0.536404069,0.748614923,1,0
36220,0.133766687,0.357632737,0.574665004,0.526285909,0.739464601,1,0
36260,0.136619835,0.361683516,0.578408056,0.530774793,0.740908405,1,0
36420,0.132954246,0.355556867,0.57336307,0.523858602,0.737910458,1,0
36500,0.123083181,0.329772644,0.527153088,0.491299966,0.686198383,1,0
36540,0.132368854,0.351625628,0.564383296,0.516344969,0.723457237,1,0
36740,0.124190367,0.328327893,0.524740877,0.487158805,0.680572606,1,0
36780,0.128877358,0.342651482,0.547922739,0.505023855,0.703498315,1,0
36980,0.143114144,0.382825092,0.613673568,0.557923378,0.77990049,1,0
37100,0.118364164,0.310493564,0.496798766,0.46594111,0.653152254,1,0
37340,0.138650023,0.366370958,0.585722604,0.535515936,0.747266837,1,0
37460,0.142619645,0.382180005,0.613422168,0.559558681,0.784586631,1,0
37620,0.144538808,0.386268682,0.620526595,0.561962558,0.787279355,1,0
37860,0.136073138,0.364286239,0.586245099,0.535225919,0.752234769,1,0
37900,0.147051854,0.391391454,0.62874582,0.567957065,0.795552152,1,0
37980,0.125163485,0.317061688,0.500649527,0.473841917,0.658144781,1,0
38060,0.127425149,0.337633564,0.539427629,0.498697793,0.69702638,1,0
38220,0.146236439,0.392249157,0.630816459,0.571510457,0.802095486,1,0
38300,0.136515105,0.361758908,0.578558499,0.530778987,0.741107566,1,0
38340,0.136946543,0.365339303,0.583152505,0.534718861,0.743668885,1,0
38540,0.139867366,0.373857042,0.600195419,0.548377314,0.768257081,1,0
38860,0.130196659,0.346365946,0.551108345,0.511534237,0.710382435,1,0
38900,0.118889743,0.316186167,0.503647089,0.471472629,0.656858339,1,0
38940,0.140291723,0.368616342,0.589293077,0.539265801,0.753734029,1,0
39100,0.121119198,0.321480452,0.510408838,0.478417095,0.663466943,1,0
39150,0.139462572,0.373200152,0.597960357,0.548098879,0.767258932,1,0
39300,0.114537534,0.307765213,0.48675008,0.462791753,0.63870677,1,0
39340,0.129529856,0.342472817,0.548020044,0.506449462,0.708064916,1,0
39380,0.144568153,0.386367368,0.621656743,0.563082253,0.79066001,1,0
39460,0.147378122,0.391095021,0.627329239,0.567120577,0.793660891,1,0
39540,0.138225739,0.365232942,0.583310994,0.534791597,0.745085502,1,0
39580,0.121434778,0.320098208,0.51030344,0.477235869,0.666225038,1,0
39660,0.127979833,0.341508502,0.544551715,0.506159573,0.704900489,1,0
39740,0.131557382,0.336228799,0.534642701,0.499504338,0.697022054,1,0
39820,0.131548048,0.353591871,0.569406588,0.522697392,0.735224242,1,0
39900,0.121301975,0.324449675,0.51760788,0.48287299,0.673862038,1,0
40060,0.131928687,0.349982179,0.561872468,0.515678956,0.723269475,1,0
40140,0.127709937,0.338781084,0.543509677,0.501750618,0.704456024,1,0
40220,0.134323633,0.356200097,0.570264472,0.522351108,0.729957019,1,0
40340,0.145265399,0.384954779,0.615686671,0.558662901,0.77935839,1,0
40380,0.12890925,0.343665829,0.548140782,0.508324858,0.707200472,1,0
40420,0.134633781,0.357698201,0.572001266,0.525798388,0.734029735,1,0
40580,0.137535847,0.369466407,0.595334866,0.543707735,0.766000456,1,0
40660,0.135056907,0.363404659,0.584764217,0.535510976,0.752544834,1,0
40900,0.118983753,0.316251168,0.506986551,0.472715484,0.662807673,1,0
40980,0.14629063,0.388677804,0.624511256,0.564736949,0.790978179,1,0
41060,0.140642154,0.371916469,0.593177979,0.540527411,0.752362931,1,0
41100,0.141184203,0.373754998,0.599332737,0.546730985,0.765581146,1,0
41140,0.138653569,0.370856677,0.597778184,0.544222862,0.765587939,1,0
41180,0.136820991,0.364430303,0.583422393,0.534440655,0.746695161,1,0
41420,0.124908868,0.333514442,0.534556608,0.49567902,0.693825259,1,0
41500,0.114752044,0.306016404,0.491270635,0.460607467,0.647415431,1,0
41540,0.144365077,0.381142653,0.611676568,0.555951254,0.779122557,1,0
41620,0.126549547,0.333882764,0.531056929,0.49307212,0.6857863,1,0
41660,0.140528585,0.375104811,0.602782419,0.548417547,0.76959724,1,0
41700,0.127767732,0.34181002,0.548018731,0.504659637,0.706551643,1,0
41740,0.106888855,0.281388379,0.447960979,0.427203146,0.596663617,1,0
41860,0.104210501,0.275536654,0.435759274,0.419230302,0.581786473,1,0
41940,0.10874461,0.286892943,0.455379347,0.434036548,0.604832379,1,0
42020,0.121610926,0.323818551,0.519341203,0.485405609,0.68123841,1,0
42100,0.12220577,0.323840135,0.520665685,0.483652144,0.680661382,1,0
42140,0.129032701,0.342318905,0.549991531,0.508966508,0.715628621,1,0
42200,0.107493361,0.285883567,0.458192454,0.43440935,0.609839497,1,0
42220,0.120305588,0.319951854,0.513316134,0.479682504,0.673868849,1,0
42340,0.121897896,0.32741914,0.526537104,0.490057188,0.688726971,1,0
42540,0.138900384,0.367587381,0.587832087,0.539241632,0.752451885,1,0
42660,0.113447161,0.301174168,0.477916945,0.450375823,0.625677071,1,0
42680,0.139710121,0.369451117,0.591576505,0.539131408,0.753679624,1,0
42700,0.143703088,0.383251058,0.615062623,0.560802312,0.786465635,1,0
43100,0.138438928,0.368209281,0.586853361,0.538731378,0.748227822,1,0
43300,0.13729167,0.368662967,0.593063811,0.541227751,0.760213307,1,0
43340,0.139854698,0.373670851,0.600858212,0.547231737,0.768417487,1,0
43420,0.138607053,0.370194176,0.594520757,0.542793355,0.761396369,1,0
43580,0.14286902,0.381299141,0.612942725,0.555807049,0.779283414,1,0
43620,0.129343381,0.342523571,0.546302493,0.504553302,0.703097487,1,0
43780,0.142460134,0.380249663,0.610394996,0.554174464,0.77590902,1,0
43900,0.142060466,0.380226908,0.610750628,0.555562116,0.778786573,1,0
44060,0.128031689,0.342221167,0.547773197,0.505458932,0.706835208,1,0
44100,0.145765138,0.387871134,0.622244541,0.563834354,0.78866607,1,0
44140,0.124488716,0.331772376,0.527277142,0.49241136,0.682521416,1,0
44180,0.136211718,0.364616248,0.587408906,0.535448427,0.753343849,1,0
44220,0.141171955,0.376257771,0.605682108,0.550225892,0.772940532,1,0
44300,0.126268622,0.335755903,0.536949714,0.498653831,0.696412146,1,0
44420,0.139644098,0.371244225,0.596784266,0.541969394,0.760206903,1,0
44700,0.122401484,0.327521964,0.528658633,0.489691316,0.691339876,1,0
44940,0.142826784,0.383521813,0.616505171,0.561274996,0.788435069,1,0
45060,0.13069715,0.349587575,0.556617286,0.515132159,0.715553641,1,0
45220,0.126516783,0.337500635,0.539236936,0.501999256,0.702001695,1,0
45300,0.129101182,0.341217105,0.544459286,0.503667451,0.703208615,1,0
45460,0.144869725,0.387004986,0.622381189,0.563852856,0.79077544,1,0
45500,0.138602103,0.372808249,0.599463575,0.547057485,0.767872775,1,0
45540,0.146593023,0.391343911,0.627228574,0.56920407,0.796207243,1,0
45780,0.136907968,0.363585988,0.583212184,0.532442961,0.745144801,1,0
45820,0.13774334,0.367099353,0.59147531,0.538413835,0.757230582,1,0
45940,0.120471429,0.3062845,0.484780565,0.459438552,0.638874672,1,0
46060,0.127473102,0.335544836,0.536641473,0.496895797,0.695773999,1,0
46140,0.133545288,0.358570979,0.577953738,0.528378658,0.744397225,1,0
46220,0.136100739,0.36538043,0.584981598,0.536944862,0.751076717,1,0
46300,0.139563011,0.373362168,0.601802647,0.548420053,0.771485875,1,0
46340,0.133348911,0.355890838,0.572397284,0.52359889,0.735588688,1,0
46520,0.106231607,0.279241278,0.445313499,0.425636322,0.594892856,1,0
46540,0.134215965,0.360479041,0.575096961,0.530363723,0.737403245,1,0
46660,0.135586517,0.367475276,0.592624397,0.543036616,0.76636276,1,0
46700,0.12431006,0.331549959,0.532166626,0.492989383,0.691414458,1,0
47020,0.141317574,0.379941323,0.610978358,0.55629447,0.780870327,1,0
47220,0.138153569,0.367197746,0.588846244,0.538670201,0.753431681,1,0
47260,0.125507776,0.330334931,0.52907537,0.490674198,0.687281127,1,0
47300,0.131146339,0.352229212,0.570319316,0.522075051,0.739073562,1,0
47380,0.137898479,0.369784782,0.595224772,0.54282696,0.762846591,1,0
47460,0.137035468,0.366207115,0.591768618,0.537903852,0.759124649,1,0
47580,0.141260723,0.37790447,0.606499368,0.552778888,0.77437427,1,0
47900,0.114382566,0.293094116,0.463252391,0.439747401,0.610881088,1,0
47940,0.146232408,0.389360621,0.625586607,0.565533215,0.79197133,1,0
48060,0.129759715,0.34797061,0.556206311,0.516108678,0.719981503,1,0
48140,0.148722156,0.395487663,0.634438637,0.572648281,0.800140614,1,0
48260,0.146316046,0.390433889,0.626966447,0.567372192,0.794255504,1,0
48300,0.131446936,0.35393816,0.565820859,0.52312247,0.731272761,1,0
48540,0.146316046,0.390433889,0.626966447,0.567372192,0.794255504,1,0
48620,0.137776923,0.367385577,0.591605089,0.538759637,0.757560278,1,0
48660,0.139759266,0.374735605,0.60471807,0.550134002,0.7753257,1,0
48700,0.144284979,0.383358126,0.613662553,0.558947382,0.780119695,1,0
48900,0.12770434,0.339374888,0.543285028,0.502747621,0.704011119,1,0
49020,0.139575641,0.368636869,0.591839491,0.54041043,0.757467842,1,0
49180,0.137861473,0.36728362,0.589087526,0.537457899,0.752895053,1,0
49340,0.117813811,0.313727797,0.496765753,0.470037387,0.650093677,1,0
49420,0.126419273,0.340404838,0.547787572,0.50691073,0.712999255,1,0
49620,0.135934097,0.35271803,0.561576229,0.520557881,0.72551153,1,0
49660,0.145817447,0.387456765,0.621869971,0.563021849,0.787973617,1,0
49700,0.127115067,0.340932024,0.54965724,0.507358195,0.71473658,1,0
49740,0.135189303,0.362246188,0.58266446,0.534847568,0.752167757,1,0
